Puntuación,Dirección,Guionista,Argumento,Nombre de la película,ID de la película,Genero
5.5,Desconocido,Jon HoeberErich HoeberChad Hayes,U.S. Marshal Carrie Stetko tracks a killer in Antarctica as the sun is about to set for six months.,Whiteout,tt0365929,Action
5.9,DirectorClayton MillerWritersBradley DayClayton MillerStarsBradley DorseyChris EblingMisty Lockheart,Bradley DayClayton Miller,"While at camp, Alex Sterling and his friends have stumbled upon an old journal left behind by his deceased grandfather where they learn of the existence of a legendary medallion believed to have originally belonged to the Biblical King Solomon. Many adventures follow as they uncover clues leading to the final resting place of the medallion.",Sterling: The Secret of the Lost Medallion,tt0373340,Action
7.6,Desconocido,Dave GibbonsDavid HayterAlex Tse,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",Watchmen,tt0409459,Action
7.6,Desconocido,Steve KlovesJ.K. Rowling,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Harry Potter en de halfbloed prins,tt0417741,Action
2.9,Desconocido,Bob Ahmed,"When a female assassin is sent to the US to kill the last living heir to the modern day Himalayan Kingdom, royal solider is also sent to protect her. When he is face to face with the assassin his duty to the Kingdom becomes compromised. As they battle, secrets are uncovered and the line between good and evil is erased. Only one mission can be completed and only one pe... Read all",Royal Kill,tt0421237,Action
4.8,Desconocido,Alan B. McElroy,Jin Kazama witnesses the death of his mother Jun by Tekken in the slums known as Anvil. After finding a Tekken ID he decides to seek out vengeance for his mother's death.,Tekken,tt0411951,Action
6.7,Desconocido,Joe CarnahanBrian BloomSkip Woods,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.",The A-Team,tt0429493,Action
3.5,DirectorRoberto CarminatiWritersRoberto CarminatiBruno FantiniDaniel OrtizStarsThiago LacerdaÂngela VieiraMilton Gonçalves,Roberto CarminatiBruno FantiniDaniel Ortiz,The Brazilian Government leads Latin American countries in the fight against drug cartels. In response drug cartels start a series of attacks against Brazil's cities and natural resources. Their first target is the Amazon Forest.,Segurança Nacional,tt0439801,Action
7.8,DirectorRon AlthoffWritersRon AlthoffMichael SuStarsJeff OsterhageMark GanttBranscombe Richmond,Ron AlthoffMichael Su,"When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Read all",Taken by Force,tt0465637,Action
8.1,DirectorJohn AntonWritersJohn AntonJason WaughStarsAnthony MoscatoAlex SafiJason Waugh,John AntonJason Waugh,"As this caper unfolds you will experience cool riffs, tattoos, excessive drug use, brief nudity, extremely strong language, mayhem, murder and a hail of gunfire.","Guns, Drugs and Dirty Money",tt0464032,Action
3.3,Desconocido,S.J. Suryah,"Puli, a brave police officer, is appointed as the special police officer in PM's security. Soon, he gets into a brawl with Al Saleem, only to realise that Saleem is responsible for his father's death.",Komaram Puli,tt0464162,Action
6.0,Desconocido,Roberto OrciAlex KurtzmanDamon Lindelof,"A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives.",Cowboys & Aliens,tt0409847,Action
7.1,Desconocido,John GatinsDan GilroyJeremy Leven,"In a near future where robot boxing is a top sport, a struggling ex-boxer feels he's found a champion in a discarded robot.",Real Steel,tt0433035,Action
6.9,Desconocido,Christopher MarkusStephen McFeelyJoe Simon,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",Captain America: The First Avenger,tt0458339,Action
6.9,DirectorTony R. WarrenWriterTony R. WarrenStarsAlison MacInnisFrank AlvarezDennis Baesa,Tony R. Warren,"This action packed Hip-Hop drama explores the life of Oscar Hernandez, a handsome Latino ex-gang member who sets forth to land a recording contract and make a name for himself in the cut-throat hip hop business with the help of his crew. When a chance encounter with the owner of the hottest Latin Hip-Hop label on the West Coast, leaves one of his crew members in criti... Read all",Platinum Illusions,tt0469158,Action
6.5,Desconocido,Richard WenkLewis John Carlino,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.,The Mechanic,tt0472399,Action
6.2,Desconocido,Adam CooperBill CollageTed Griffin,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",Tower Heist,tt0471042,Action
5.4,Desconocido,Bragi F. Schut,"14th-century knights transport a suspected witch to a monastery, where monks deduce that her powers could be the source of the Black Plague.",Season of the Witch,tt0479997,Action
6.6,Desconocido,Andrew StantonMark AndrewsMichael Chabon,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",John Carter,tt0401729,Action
8.0,Desconocido,Jay Rowlands,"Clutch is the story of a struggling race car driver who puts it all on the line. He risks his life, friends, and freedom when he takes a wrong turn in his attempts to support his racing.",Clutch,tt0475239,Action
5.9,Desconocido,John RidleyAaron McGruderJohn B. Holway,"A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard.",Red Tails,tt0485985,Action
7.0,Desconocido,Lee ChildChristopher McQuarrie,A homicide investigator digs deeper into a case involving a trained military sniper responsible for a mass shooting.,Jack Reacher,tt0790724,Action
3.6,Desconocido,Joanne ReayAndrew Goth,A cursed gunman (Snipes) whose victims come back from the dead recruits a young warrior to help in the fight against a gang of zombies.,Gallowwalkers,tt0829176,Action
8.0,Desconocido,Joss WhedonZak Penn,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,The Avengers,tt0848228,Action
6.1,Desconocido,Nick LoveJohn HodgeIan Kennedy Martin,A hardened detective in the Flying Squad of London's Metropolitan police. Based on the '70s UK TV show.,The Sweeney,tt0857190,Action
